frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,frame_signal_scores,neareast_neighbour_distances,selections
1.700000000000000000e+01,1.194554316534274534e+02,9.901284931515100141e+00,-3.446573444137357185e-03,9.321631510087991046e+01,2.587087079058748573e-01,0.000000000000000000e+00,5.619465581674323751e+00,1.000000000000000000e+00
1.900000000000000000e+01,9.181124999819303412e+01,2.372624440244504740e+01,-3.670684586957865137e-03,9.960267861522596888e+01,2.361167996211740450e-01,0.000000000000000000e+00,6.621628082177076102e+00,1.000000000000000000e+00
1.900000000000000000e+01,7.603234992806073933e+01,7.290251612087789823e+00,-2.972129172108110319e-03,7.969635553820529594e+01,3.754876808641405272e-01,0.000000000000000000e+00,1.142996556428457922e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.030378122485467713e+02,1.022168164686859271e+01,-3.342774529462734252e-03,9.025841843780479223e+01,1.701055234151689355e-01,0.000000000000000000e+00,1.642074544528122360e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.201234591257102835e+01,2.440623679006277058e+01,-3.289005642956099613e-03,8.872619808199674196e+01,2.043145998804368757e-01,0.000000000000000000e+00,7.792145157631250818e+00,1.000000000000000000e+00
2.100000000000000000e+01,3.369854852160874259e+01,1.018472834171783781e+01,-3.316670216326131349e-03,8.951453916931082233e+01,1.758211771551110303e-01,0.000000000000000000e+00,1.622486213874194405e+01,1.000000000000000000e+00
2.100000000000000000e+01,8.027390740637365241e+01,2.254460600125765168e+01,-3.901256352676137507e-03,1.061731467030214446e+02,2.506658716149230415e-01,0.000000000000000000e+00,6.751729272817368788e+00,1.000000000000000000e+00
2.100000000000000000e+01,8.536868911630226364e+01,1.388395189059885482e+01,-3.395940300728404054e-03,9.177345217307549774e+01,3.813768131648413995e-01,0.000000000000000000e+00,6.045879360223415766e+00,1.000000000000000000e+00
2.300000000000000000e+01,8.645639715541418013e+01,1.983118220899302386e+01,-3.561900631813933425e-03,9.650272618388309809e+01,3.196537677441291248e-01,0.000000000000000000e+00,6.045879360223415766e+00,1.000000000000000000e+00
2.200000000000000000e+01,4.288577163600172071e+01,2.355787617113874788e+01,-3.076616130068251208e-03,8.267385896638643317e+01,2.496042455365294899e-01,0.000000000000000000e+00,9.165919144607251212e+00,1.000000000000000000e+00
2.200000000000000000e+01,2.408266205990884501e+01,2.719625269726013528e+01,-3.600150354259073343e-03,9.759270604290843210e+01,1.890324395016856895e-01,0.000000000000000000e+00,1.053273288277463315e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.482707951049200190e+01,2.216906126955296585e+01,-3.786471654756773993e-03,1.029021946317780873e+02,2.050847213766172628e-01,0.000000000000000000e+00,5.487971116774630786e+00,1.000000000000000000e+00
2.300000000000000000e+01,1.093505319857892459e+02,2.548245871840856935e+01,-2.693552803272868026e-03,7.175792849036642451e+01,3.013763796769982628e-01,0.000000000000000000e+00,1.651489471078187066e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.802254584184498754e+01,1.770735510444728078e+01,-3.821294351920245368e-03,1.038945165656054854e+02,1.690424418831282249e-01,0.000000000000000000e+00,5.487971116774630786e+00,1.000000000000000000e+00
3.200000000000000000e+01,3.750313255769174958e+01,1.285278698488614424e+01,-4.039688181389985110e-03,1.101179571617784347e+02,1.495595566473851834e-01,0.000000000000000000e+00,1.056100773024439654e+01,1.000000000000000000e+00
3.300000000000000000e+01,7.992913398949052350e+01,1.877989600646964163e+01,-3.736693154612056363e-03,1.014836859707531147e+02,1.800619681560284846e-01,0.000000000000000000e+00,6.579621782421321008e+00,1.000000000000000000e+00
3.200000000000000000e+01,1.075621932035825878e+01,1.817514920956694979e+01,-3.657603816813996805e-03,9.922992359673385465e+01,2.357674170444150619e-01,0.000000000000000000e+00,7.105846891045092484e+00,1.000000000000000000e+00
3.300000000000000000e+01,7.538114534836822145e+01,6.869349418008723340e+00,-3.115769465637537646e-03,8.378958855750678936e+01,2.541368400106683856e-01,0.000000000000000000e+00,6.885262496578414826e+00,1.000000000000000000e+00
3.400000000000000000e+01,1.070138106418513857e+01,1.106951392448264571e+01,-4.466339209519020782e-03,1.222759807437820143e+02,1.697931832213350756e-01,0.000000000000000000e+00,7.105846891045092484e+00,1.000000000000000000e+00
3.400000000000000000e+01,5.287402798851296382e+01,1.163341094959435296e+01,-4.058016929330371565e-03,1.106402607190088645e+02,2.269954469414495746e-01,0.000000000000000000e+00,1.038789887426409386e+01,1.000000000000000000e+00
3.400000000000000000e+01,4.484042047459038116e+01,2.044877871097532207e+01,-5.495297334156502497e-03,1.515975956455352787e+02,1.888917318950407154e-01,0.000000000000000000e+00,1.056100773024439654e+01,1.000000000000000000e+00
