frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
1.600000000000000000e+01,9.324825936226366707e+01,2.938557876197154428e+01,-1.616905460995693954e-03,5.095045390607727143e+01,3.863351246275416040e-01,2.330740737915039062e+01,0.000000000000000000e+00,8.781392767566611468e+00,1.000000000000000000e+00
1.900000000000000000e+01,2.061921434583144119e+01,7.881044076991083003e+00,-2.060617545647739930e-03,6.515188274123765666e+01,3.261838620288641799e-01,1.917143821716308594e+01,0.000000000000000000e+00,1.010711193230636162e+01,1.000000000000000000e+00
1.800000000000000000e+01,6.502791475261383880e+01,1.434596356891256086e+01,-5.789012258205365573e-03,1.844827146280838974e+02,6.156439816949310639e-02,1.881754493713378906e+01,0.000000000000000000e+00,9.316593570300375049e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.399360901405626407e+02,2.151825762851033019e+01,-4.111804243873894323e-03,1.308020710730014287e+02,1.063595126015021153e-01,1.862354660034179688e+01,0.000000000000000000e+00,6.432860492162222776e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.285931803227286530e+01,1.435697804939920630e+01,-2.280450893570091456e-03,7.218785889357194208e+01,3.029677626642828248e-01,2.250483512878417969e+01,0.000000000000000000e+00,9.805588484358560564e+00,1.000000000000000000e+00
1.800000000000000000e+01,4.929215836504128134e+01,2.146227298686285323e+01,-2.824796872653297358e-03,8.961017158473521249e+01,2.702460678802438565e-01,1.847792434692382812e+01,0.000000000000000000e+00,1.176766458568525131e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.280800628995895636e+02,2.318400688737392557e+01,-2.812811083942506722e-03,8.922655497545795811e+01,2.189786131837699878e-01,1.931006431579589844e+01,0.000000000000000000e+00,1.121906171725155588e+01,1.000000000000000000e+00
1.800000000000000000e+01,6.692851981873646139e+01,2.346663328866402765e+01,1.622635343815470978e-03,-5.113384427544862376e+01,4.002102988791088611e-01,2.278446006774902344e+01,0.000000000000000000e+00,6.903763231176176518e+00,1.000000000000000000e+00
2.000000000000000000e+01,7.803296654274427624e+01,1.007165152043042688e+01,-2.270367272931196004e-03,7.186512298923811670e+01,3.272914134601415670e-01,1.989473342895507812e+01,0.000000000000000000e+00,5.407979013278726654e+00,1.000000000000000000e+00
2.000000000000000000e+01,9.271257234854034834e+01,1.605907354273046295e+01,-3.475665599140072368e-03,1.104418464927600212e+02,1.615210461449335666e-01,1.905023956298828125e+01,0.000000000000000000e+00,8.974459602855912266e+00,1.000000000000000000e+00
2.000000000000000000e+01,1.400417678646207378e+02,1.508626522100085765e+01,-2.570267187406256090e-03,8.146370603533233634e+01,2.168952361310211296e-01,2.316715431213378906e+01,0.000000000000000000e+00,6.432860492162222776e+00,1.000000000000000000e+00
2.000000000000000000e+01,8.037051739227300118e+01,1.996625483260233835e+01,-2.009337611497460235e-03,6.351061949712747889e+01,3.331490554686350469e-01,2.085260391235351562e+01,0.000000000000000000e+00,1.010677037868959438e+01,1.000000000000000000e+00
2.000000000000000000e+01,7.506026515940948940e+00,2.639587868093931178e+01,-2.649500475663979070e-03,8.399964306181695406e+01,2.739318775795814842e-01,1.997307777404785156e+01,0.000000000000000000e+00,5.613073508096561248e+00,1.000000000000000000e+00
2.100000000000000000e+01,8.872925932162796414e+01,8.017050010501600710e+00,-1.370427246936696151e-03,4.306168337795155310e+01,4.998014565115095342e-01,2.200600242614746094e+01,0.000000000000000000e+00,8.507262502672908511e+00,1.000000000000000000e+00
2.100000000000000000e+01,5.056343702185156985e+01,9.763479015776368897e+00,-1.995811961184520110e-03,6.307771814732738136e+01,3.754480875103964888e-01,1.885126304626464844e+01,0.000000000000000000e+00,1.006654430361632357e+01,1.000000000000000000e+00
2.400000000000000000e+01,7.332038517144592049e+01,1.272453934824276445e+01,-2.200777238520274827e-03,6.963782750753389905e+01,3.040887611281223313e-01,1.761360931396484375e+01,0.000000000000000000e+00,5.407979013278726654e+00,1.000000000000000000e+00
2.200000000000000000e+01,9.459140180887729343e+01,3.080933889839239015e+01,-2.491159485170696321e-03,7.893178850937098900e+01,3.360343702128717469e-01,1.852990531921386719e+01,0.000000000000000000e+00,1.486944276708009305e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.087197071559053541e+01,1.982529401986474937e+01,-1.186129592944173972e-02,3.788319501049459177e+02,2.376830528338003123e-02,1.750979614257812500e+01,0.000000000000000000e+00,1.006654430361632357e+01,1.000000000000000000e+00
2.600000000000000000e+01,9.694130132431740776e+01,1.023873437949933596e+01,-3.187675247244075097e-03,1.012244403658319385e+02,2.466215296195463091e-01,1.935633850097656250e+01,0.000000000000000000e+00,8.507262502672908511e+00,1.000000000000000000e+00
2.400000000000000000e+01,3.071239788821768002e+01,1.489858321443960953e+01,-3.141454898167029587e-03,9.974511397185132466e+01,2.424602560387231209e-01,1.904801177978515625e+01,0.000000000000000000e+00,8.037437083895895285e+00,1.000000000000000000e+00
2.500000000000000000e+01,2.130961801315508097e+01,2.458720306707957448e+01,-2.442804103173324293e-03,7.738412834868100276e+01,3.607909238448903100e-01,1.673721885681152344e+01,0.000000000000000000e+00,5.538121808833397886e+00,1.000000000000000000e+00
2.600000000000000000e+01,1.191705312127320404e+01,3.106858681852451554e+01,-2.372927153224176338e-03,7.514764986128734847e+01,2.892427955747594037e-01,1.948238754272460938e+01,0.000000000000000000e+00,1.141177508460916457e+01,1.000000000000000000e+00
2.600000000000000000e+01,7.842872806953654674e+01,2.714305000526167433e+01,-1.923228891797883070e-03,6.075462772408555878e+01,4.012567691621128363e-01,1.861893844604492188e+01,0.000000000000000000e+00,9.265897065526651488e+00,1.000000000000000000e+00
2.700000000000000000e+01,2.665218127629913880e+01,2.604590486963540386e+01,-2.047895680092435590e-03,6.474470728989557244e+01,3.712016219723647259e-01,2.011316299438476562e+01,0.000000000000000000e+00,5.538121808833397886e+00,1.000000000000000000e+00
2.900000000000000000e+01,2.292146972494355595e+01,1.687388907234796065e+01,-2.400381594387578262e-03,7.602635545862735000e+01,3.635687842228749744e-01,2.083217048645019531e+01,0.000000000000000000e+00,5.550060655879523352e+00,1.000000000000000000e+00
3.000000000000000000e+01,6.466206505082011802e+01,2.161754449371422027e+01,-2.685871544819540008e-03,8.516373384982523476e+01,3.244629112427406259e-01,1.712098121643066406e+01,0.000000000000000000e+00,1.165771895249472934e+01,1.000000000000000000e+00
2.900000000000000000e+01,8.992239267719162399e+01,2.406437614161442085e+01,-2.357967471579381323e-03,7.466885096979038394e+01,3.342559479116355980e-01,1.895573616027832031e+01,0.000000000000000000e+00,8.260951193114831170e+00,1.000000000000000000e+00
3.200000000000000000e+01,9.869524693251456426e+01,6.244009132058464751e+00,-2.864575343286618163e-03,9.088331950973172013e+01,2.373143457663113853e-01,1.879256820678710938e+01,0.000000000000000000e+00,6.974361658918878604e+00,1.000000000000000000e+00
3.100000000000000000e+01,1.105158373041034992e+02,1.295265272933127676e+01,-2.816850923175213874e-03,8.935585388651594485e+01,1.874753602806807917e-01,1.938353347778320312e+01,0.000000000000000000e+00,1.062146393689439172e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.760473666739017418e+01,1.846622160001324531e+01,-2.631241880574480829e-03,8.341525929639199433e+01,3.559222978759765121e-01,1.952816581726074219e+01,0.000000000000000000e+00,5.365455342647189596e+00,1.000000000000000000e+00
