frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
1.100000000000000000e+01,2.064601286226266197e+01,8.521849514789021640e+00,-3.275040154920440087e-03,1.040206376342232204e+02,1.528713714997737005e-01,1.936860847473144531e+01,0.000000000000000000e+00,5.497131637936438331e+00,1.000000000000000000e+00
1.100000000000000000e+01,7.610939363695802484e+00,1.007074924219990031e+01,-3.383801710720214968e-03,1.075016550509633220e+02,1.271789073260725100e-01,2.274843215942382812e+01,0.000000000000000000e+00,7.946234204987694838e+00,1.000000000000000000e+00
1.100000000000000000e+01,9.369680137080024451e+01,1.008016590254943168e+01,-3.155385583844967732e-03,1.001909788651533972e+02,2.677385725980511166e-01,1.996027183532714844e+01,0.000000000000000000e+00,8.572868048457211287e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.022538051586866743e+02,1.060146500129778779e+01,-4.273323342896483655e-03,1.359716440227382179e+02,1.384841091911418465e-01,1.808663749694824219e+01,0.000000000000000000e+00,8.572868048457211287e+00,1.000000000000000000e+00
1.300000000000000000e+01,2.331338382838351464e+01,2.054920250896086742e+01,-3.173402152230144369e-03,1.007676163348687624e+02,2.215876354397188219e-01,1.885362625122070312e+01,0.000000000000000000e+00,8.487421014346486103e+00,1.000000000000000000e+00
1.300000000000000000e+01,7.034603601102739390e+01,2.177990030891074369e+01,-1.131842355140412308e-02,3.614568014219406678e+02,4.069764988194679578e-02,1.716867446899414062e+01,0.000000000000000000e+00,7.419118762134524481e+00,1.000000000000000000e+00
1.400000000000000000e+01,1.554190786465716911e+01,1.056306690111032687e+01,2.072337332578933194e-03,-6.552698570963461577e+01,2.689422148173626903e-01,2.315148353576660156e+01,0.000000000000000000e+00,4.594059291747402796e+00,1.000000000000000000e+00
1.300000000000000000e+01,9.199801987149135130e+01,2.095838798609941023e+01,-2.875876878881012105e-03,9.124503594483327618e+01,2.247105790699917005e-01,1.862191390991210938e+01,0.000000000000000000e+00,1.101006695172325500e+01,1.000000000000000000e+00
1.500000000000000000e+01,2.136389563789631296e+01,2.902693057111902064e+01,-3.222558227518160061e-03,1.023409034486645766e+02,1.663131271056252913e-01,2.131977462768554688e+01,0.000000000000000000e+00,4.532535674181332297e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.002081780961843833e+02,3.106391604069492018e+01,-3.275221871043612707e-03,1.040264536322108881e+02,2.854629243446122899e-01,1.853762626647949219e+01,0.000000000000000000e+00,1.264437098282774841e+01,1.000000000000000000e+00
